Genotype,fr_lf_sen_rate,grains_per_gram_stem,ll_modifier,max_grain_size,photop_sens,potential_grain_filling_rate,transp_eff_cf,tt_floral_initiation,vern_sens,y_extinct_coef,y_frac_leaf,y_rue
'g173',0.0353,22.7940,1.0482,0.0397,2.0922,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',501.3443,1.7936,'0.5083  0.5083  0.5083','0  0  0.6091  0.6091  0.6091  0.40810  0  0  0  0  0  0  0  0','0  0  1.167  1.167  1.167  1.167  1.167  1.167  0  0  0'
'g174',0.0341,20.4909,1.0192,0.0542,2.4296,0.0023,'0  0  0.0046  0.0046  0.0046  0.0046  0.0046  0.0046  0.0046  0  0',498.6030,2.2149,'0.4419  0.4419  0.4419','0  0  0.6081  0.6081  0.6081  0.40740  0  0  0  0  0  0  0  0','0  0  1.295  1.295  1.295  1.295  1.295  1.295  0  0  0'
'g175',0.0305,20.9821,0.9695,0.0507,2.3559,0.0024,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',523.9856,2.0053,'0.4935  0.4935  0.4935','0  0  0.5762  0.5762  0.5762  0.38610  0  0  0  0  0  0  0  0','0  0  1.298  1.298  1.298  1.298  1.298  1.298  0  0  0'
'g176',0.0378,23.7568,1.0335,0.0342,2.1891,0.0020,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',487.6892,1.9071,'0.5302  0.5302  0.5302','0  0  0.6039  0.6039  0.6039  0.40460  0  0  0  0  0  0  0  0','0  0  1.212  1.212  1.212  1.212  1.212  1.212  0  0  0'
'g177',0.0333,22.8079,0.9803,0.0531,2.4900,0.0022,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',502.1088,2.1300,'0.4628  0.4628  0.4628','0  0  0.6017  0.6017  0.6017  0.40310  0  0  0  0  0  0  0  0','0  0  1.152  1.152  1.152  1.152  1.152  1.152  0  0  0'
'g178',0.0314,21.6194,1.0519,0.0465,2.4495,0.0023,'0  0  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0  0',496.9181,2.1422,'0.506  0.506  0.506','0  0  0.5775  0.5775  0.5775  0.38690  0  0  0  0  0  0  0  0','0  0  1.369  1.369  1.369  1.369  1.369  1.369  0  0  0'
'g179',0.0341,22.9078,1.0171,0.0521,1.9450,0.0024,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',506.3838,2.0145,'0.4958  0.4958  0.4958','0  0  0.5909  0.5909  0.5909  0.39590  0  0  0  0  0  0  0  0','0  0  1.154  1.154  1.154  1.154  1.154  1.154  0  0  0'
'g180',0.0341,22.9078,1.0171,0.0521,1.9450,0.0024,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',506.3838,2.0145,'0.4958  0.4958  0.4958','0  0  0.5909  0.5909  0.5909  0.39590  0  0  0  0  0  0  0  0','0  0  1.154  1.154  1.154  1.154  1.154  1.154  0  0  0'
'g181',0.0327,22.0911,1.0147,0.0432,1.7436,0.0020,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',521.0994,1.7916,'0.4732  0.4732  0.4732','0  0  0.5831  0.5831  0.5831  0.39070  0  0  0  0  0  0  0  0','0  0  1.115  1.115  1.115  1.115  1.115  1.115  0  0  0'
'g182',0.0319,20.7616,0.9960,0.0491,2.2859,0.0021,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',530.2957,1.6203,'0.5043  0.5043  0.5043','0  0  0.5734  0.5734  0.5734  0.38420  0  0  0  0  0  0  0  0','0  0  1.255  1.255  1.255  1.255  1.255  1.255  0  0  0'
'g183',0.0345,23.0860,1.0131,0.0446,2.2255,0.0022,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',508.6564,2.0998,'0.4919  0.4919  0.4919','0  0  0.5942  0.5942  0.5942  0.39810  0  0  0  0  0  0  0  0','0  0  1.222  1.222  1.222  1.222  1.222  1.222  0  0  0'
'g184',0.0351,21.7744,0.9795,0.0466,2.3593,0.0021,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',498.7605,2.1665,'0.5342  0.5342  0.5342','0  0  0.5885  0.5885  0.5885  0.39430  0  0  0  0  0  0  0  0','0  0  1.146  1.146  1.146  1.146  1.146  1.146  0  0  0'
'g185',0.0340,22.0610,0.9674,0.0491,1.8246,0.0023,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',505.9647,1.9420,'0.5046  0.5046  0.5046','0  0  0.5944  0.5944  0.5944  0.39820  0  0  0  0  0  0  0  0','0  0  1.108  1.108  1.108  1.108  1.108  1.108  0  0  0'
'g186',0.0371,20.8668,1.0051,0.0480,2.2774,0.0023,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',528.4043,2.1821,'0.4662  0.4662  0.4662','0  0  0.6042  0.6042  0.6042  0.40480  0  0  0  0  0  0  0  0','0  0  1.216  1.216  1.216  1.216  1.216  1.216  0  0  0'
'g187',0.0328,22.9669,1.0118,0.0424,2.5358,0.0021,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',516.0924,1.9925,'0.5039  0.5039  0.5039','0  0  0.5816  0.5816  0.5816  0.38970  0  0  0  0  0  0  0  0','0  0  1.266  1.266  1.266  1.266  1.266  1.266  0  0  0'
'g188',0.0349,21.3393,1.0190,0.0541,1.9704,0.0024,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',495.1628,1.8082,'0.5202  0.5202  0.5202','0  0  0.629  0.629  0.629  0.42140  0  0  0  0  0  0  0  0','0  0  1.199  1.199  1.199  1.199  1.199  1.199  0  0  0'
'g189',0.0342,22.3849,0.9950,0.0520,2.2994,0.0023,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',511.7762,1.9682,'0.5056  0.5056  0.5056','0  0  0.6175  0.6175  0.6175  0.41370  0  0  0  0  0  0  0  0','0  0  1.132  1.132  1.132  1.132  1.132  1.132  0  0  0'
'g190',0.0326,21.6130,1.0197,0.0476,2.2821,0.0022,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',473.6087,1.9258,'0.449  0.449  0.449','0  0  0.5954  0.5954  0.5954  0.39890  0  0  0  0  0  0  0  0','0  0  1.262  1.262  1.262  1.262  1.262  1.262  0  0  0'
'g191',0.0342,21.9654,0.9454,0.0508,2.1771,0.0023,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',521.1032,2.0014,'0.5209  0.5209  0.5209','0  0  0.5735  0.5735  0.5735  0.38420  0  0  0  0  0  0  0  0','0  0  1.161  1.161  1.161  1.161  1.161  1.161  0  0  0'
'g192',0.0386,23.5523,1.0245,0.0371,2.1282,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',492.7663,1.8831,'0.5612  0.5612  0.5612','0  0  0.6074  0.6074  0.6074  0.4070  0  0  0  0  0  0  0  0','0  0  1.224  1.224  1.224  1.224  1.224  1.224  0  0  0'
'g193',0.0355,22.2326,1.0123,0.0457,2.0477,0.0024,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',476.5476,1.7938,'0.4643  0.4643  0.4643','0  0  0.6213  0.6213  0.6213  0.41630  0  0  0  0  0  0  0  0','0  0  1.225  1.225  1.225  1.225  1.225  1.225  0  0  0'
'g194',0.0386,21.3550,1.0115,0.0496,2.1042,0.0023,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',538.8822,1.9627,'0.4366  0.4366  0.4366','0  0  0.597  0.597  0.597  0.40  0  0  0  0  0  0  0  0','0  0  1.105  1.105  1.105  1.105  1.105  1.105  0  0  0'
'g195',0.0359,23.5298,1.0200,0.0419,2.7409,0.0019,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',513.2702,1.8335,'0.4966  0.4966  0.4966','0  0  0.6  0.6  0.6  0.4020  0  0  0  0  0  0  0  0','0  0  1.196  1.196  1.196  1.196  1.196  1.196  0  0  0'
'g196',0.0355,23.0788,0.9521,0.0423,1.9529,0.0018,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',468.1104,1.9523,'0.5508  0.5508  0.5508','0  0  0.605  0.605  0.605  0.40530  0  0  0  0  0  0  0  0','0  0  1.091  1.091  1.091  1.091  1.091  1.091  0  0  0'
'g197',0.0325,21.6044,0.9513,0.0525,2.3948,0.0024,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',522.8059,1.9271,'0.4743  0.4743  0.4743','0  0  0.5996  0.5996  0.5996  0.40170  0  0  0  0  0  0  0  0','0  0  1.192  1.192  1.192  1.192  1.192  1.192  0  0  0'
'g198',0.0341,22.9078,1.0171,0.0521,1.9450,0.0024,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',506.3838,2.0145,'0.4958  0.4958  0.4958','0  0  0.5909  0.5909  0.5909  0.39590  0  0  0  0  0  0  0  0','0  0  1.154  1.154  1.154  1.154  1.154  1.154  0  0  0'
'g199',0.0347,22.9535,0.9293,0.0438,2.3178,0.0021,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',491.4872,1.7166,'0.5088  0.5088  0.5088','0  0  0.6043  0.6043  0.6043  0.40490  0  0  0  0  0  0  0  0','0  0  1.178  1.178  1.178  1.178  1.178  1.178  0  0  0'
