Genotype,fr_lf_sen_rate,grains_per_gram_stem,ll_modifier,max_grain_size,photop_sens,potential_grain_filling_rate,transp_eff_cf,tt_floral_initiation,vern_sens,y_extinct_coef,y_frac_leaf,y_rue
'g027',0.0311,22.8601,1.0296,0.0422,2.1110,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',490.3549,1.7689,'0.5159  0.5159  0.5159','0  0  0.6043  0.6043  0.6043  0.40490  0  0  0  0  0  0  0  0','0  0  1.236  1.236  1.236  1.236  1.236  1.236  0  0  0'
'g028',0.0377,23.5076,0.9497,0.0427,2.5334,0.0019,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',495.4142,1.9795,'0.5715  0.5715  0.5715','0  0  0.6109  0.6109  0.6109  0.40930  0  0  0  0  0  0  0  0','0  0  1.042  1.042  1.042  1.042  1.042  1.042  0  0  0'
'g029',0.0338,21.3272,1.0931,0.0494,2.2452,0.0023,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',518.5159,1.9659,'0.4274  0.4274  0.4274','0  0  0.6152  0.6152  0.6152  0.41220  0  0  0  0  0  0  0  0','0  0  1.115  1.115  1.115  1.115  1.115  1.115  0  0  0'
'g030',0.0349,22.2050,1.0046,0.0425,2.4126,0.0023,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',493.4293,2.0372,'0.5179  0.5179  0.5179','0  0  0.558  0.558  0.558  0.37390  0  0  0  0  0  0  0  0','0  0  1.222  1.222  1.222  1.222  1.222  1.222  0  0  0'
'g031',0.0329,23.2552,0.9988,0.0410,2.0410,0.0020,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',495.3660,1.8689,'0.4884  0.4884  0.4884','0  0  0.5619  0.5619  0.5619  0.37650  0  0  0  0  0  0  0  0','0  0  1.142  1.142  1.142  1.142  1.142  1.142  0  0  0'
'g032',0.0320,22.7993,1.0403,0.0419,2.0959,0.0021,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',486.3153,1.8270,'0.5168  0.5168  0.5168','0  0  0.5911  0.5911  0.5911  0.3960  0  0  0  0  0  0  0  0','0  0  1.208  1.208  1.208  1.208  1.208  1.208  0  0  0'
'g033',0.0366,23.4660,1.0262,0.0425,2.3779,0.0022,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',497.2613,1.8438,'0.4815  0.4815  0.4815','0  0  0.5975  0.5975  0.5975  0.40030  0  0  0  0  0  0  0  0','0  0  1.22  1.22  1.22  1.22  1.22  1.22  0  0  0'
'g034',0.0362,22.0513,1.0438,0.0423,2.0266,0.0023,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',497.1357,1.8008,'0.5275  0.5275  0.5275','0  0  0.5881  0.5881  0.5881  0.3940  0  0  0  0  0  0  0  0','0  0  1.195  1.195  1.195  1.195  1.195  1.195  0  0  0'
'g035',0.0319,21.9034,1.0144,0.0491,2.2751,0.0024,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',509.8406,2.2597,'0.463  0.463  0.463','0  0  0.6102  0.6102  0.6102  0.40880  0  0  0  0  0  0  0  0','0  0  1.139  1.139  1.139  1.139  1.139  1.139  0  0  0'
'g036',0.0327,21.5186,1.0072,0.0502,2.2590,0.0023,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',501.5185,2.1563,'0.416  0.416  0.416','0  0  0.612  0.612  0.612  0.410  0  0  0  0  0  0  0  0','0  0  1.095  1.095  1.095  1.095  1.095  1.095  0  0  0'
'g037',0.0361,23.5427,1.0366,0.0325,2.3680,0.0019,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',505.8553,1.9746,'0.4912  0.4912  0.4912','0  0  0.6078  0.6078  0.6078  0.40720  0  0  0  0  0  0  0  0','0  0  1.19  1.19  1.19  1.19  1.19  1.19  0  0  0'
'g038',0.0359,22.5152,0.9444,0.0508,2.4946,0.0022,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',506.6457,2.1243,'0.4895  0.4895  0.4895','0  0  0.5997  0.5997  0.5997  0.40180  0  0  0  0  0  0  0  0','0  0  1.177  1.177  1.177  1.177  1.177  1.177  0  0  0'
'g039',0.0340,22.8811,0.9460,0.0449,2.0179,0.0023,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',499.1822,2.1991,'0.4764  0.4764  0.4764','0  0  0.59  0.59  0.59  0.39530  0  0  0  0  0  0  0  0','0  0  1.256  1.256  1.256  1.256  1.256  1.256  0  0  0'
'g040',0.0334,21.9763,1.0038,0.0513,2.0965,0.0022,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',508.6096,1.7811,'0.511  0.511  0.511','0  0  0.5954  0.5954  0.5954  0.39890  0  0  0  0  0  0  0  0','0  0  1.163  1.163  1.163  1.163  1.163  1.163  0  0  0'
'g041',0.0370,22.2338,0.9411,0.0528,2.3959,0.0023,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',516.2178,2.1771,'0.4846  0.4846  0.4846','0  0  0.5986  0.5986  0.5986  0.40110  0  0  0  0  0  0  0  0','0  0  1.155  1.155  1.155  1.155  1.155  1.155  0  0  0'
'g042',0.0359,22.5152,0.9444,0.0508,2.4946,0.0022,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',506.6457,2.1243,'0.4895  0.4895  0.4895','0  0  0.5997  0.5997  0.5997  0.40180  0  0  0  0  0  0  0  0','0  0  1.177  1.177  1.177  1.177  1.177  1.177  0  0  0'
'g043',0.0365,22.8547,0.9646,0.0491,2.4265,0.0022,'0  0  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0  0',516.9525,2.2092,'0.4772  0.4772  0.4772','0  0  0.6066  0.6066  0.6066  0.40640  0  0  0  0  0  0  0  0','0  0  1.157  1.157  1.157  1.157  1.157  1.157  0  0  0'
'g044',0.0346,20.5418,0.9860,0.0538,2.2200,0.0022,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',551.2621,1.8847,'0.5374  0.5374  0.5374','0  0  0.6224  0.6224  0.6224  0.4170  0  0  0  0  0  0  0  0','0  0  1.189  1.189  1.189  1.189  1.189  1.189  0  0  0'
'g045',0.0366,22.9959,0.9742,0.0498,2.4128,0.0022,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',521.4544,2.2229,'0.5084  0.5084  0.5084','0  0  0.6066  0.6066  0.6066  0.40640  0  0  0  0  0  0  0  0','0  0  1.174  1.174  1.174  1.174  1.174  1.174  0  0  0'
'g046',0.0358,21.7821,1.0158,0.0433,2.1130,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',505.6225,2.1450,'0.5264  0.5264  0.5264','0  0  0.591  0.591  0.591  0.3960  0  0  0  0  0  0  0  0','0  0  1.206  1.206  1.206  1.206  1.206  1.206  0  0  0'
'g047',0.0342,22.5554,0.9596,0.0445,2.0871,0.0022,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',482.2105,2.3668,'0.4976  0.4976  0.4976','0  0  0.597  0.597  0.597  0.40  0  0  0  0  0  0  0  0','0  0  1.235  1.235  1.235  1.235  1.235  1.235  0  0  0'
'g048',0.0327,23.7359,0.9232,0.0471,2.5050,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',497.2259,2.1327,'0.5797  0.5797  0.5797','0  0  0.61  0.61  0.61  0.40870  0  0  0  0  0  0  0  0','0  0  1.193  1.193  1.193  1.193  1.193  1.193  0  0  0'
'g049',0.0313,23.1284,1.0146,0.0423,2.2311,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',496.6128,1.9184,'0.4992  0.4992  0.4992','0  0  0.5988  0.5988  0.5988  0.40120  0  0  0  0  0  0  0  0','0  0  1.228  1.228  1.228  1.228  1.228  1.228  0  0  0'
'g050',0.0314,23.3266,0.9462,0.0473,2.2828,0.0023,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',485.1287,1.8958,'0.4916  0.4916  0.4916','0  0  0.6  0.6  0.6  0.4020  0  0  0  0  0  0  0  0','0  0  1.209  1.209  1.209  1.209  1.209  1.209  0  0  0'
'g051',0.0318,20.4520,0.9791,0.0553,2.3929,0.0023,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',496.5470,1.8288,'0.4782  0.4782  0.4782','0  0  0.6054  0.6054  0.6054  0.40560  0  0  0  0  0  0  0  0','0  0  1.275  1.275  1.275  1.275  1.275  1.275  0  0  0'
'g052',0.0355,21.5718,0.9848,0.0414,1.9631,0.0020,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',481.8080,1.9958,'0.5766  0.5766  0.5766','0  0  0.6039  0.6039  0.6039  0.40460  0  0  0  0  0  0  0  0','0  0  1.29  1.29  1.29  1.29  1.29  1.29  0  0  0'
'g053',0.0369,23.3537,1.0134,0.0420,2.3842,0.0018,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',531.4547,1.8816,'0.4891  0.4891  0.4891','0  0  0.5917  0.5917  0.5917  0.39640  0  0  0  0  0  0  0  0','0  0  1.232  1.232  1.232  1.232  1.232  1.232  0  0  0'
'g054',0.0355,23.8010,1.0333,0.0465,2.7358,0.0020,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',515.4097,1.9338,'0.506  0.506  0.506','0  0  0.6055  0.6055  0.6055  0.40570  0  0  0  0  0  0  0  0','0  0  1.262  1.262  1.262  1.262  1.262  1.262  0  0  0'
'g055',0.0404,21.2978,0.9493,0.0471,2.3371,0.0018,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',470.0275,2.1753,'0.4495  0.4495  0.4495','0  0  0.6492  0.6492  0.6492  0.4350  0  0  0  0  0  0  0  0','0  0  1.251  1.251  1.251  1.251  1.251  1.251  0  0  0'
'g056',0.0349,21.4672,1.0220,0.0506,2.4355,0.0020,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',504.9241,2.2620,'0.4895  0.4895  0.4895','0  0  0.5916  0.5916  0.5916  0.39640  0  0  0  0  0  0  0  0','0  0  1.155  1.155  1.155  1.155  1.155  1.155  0  0  0'
'g057',0.0326,22.0788,0.9514,0.0486,2.6597,0.0020,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',506.5081,1.9507,'0.5069  0.5069  0.5069','0  0  0.6091  0.6091  0.6091  0.40810  0  0  0  0  0  0  0  0','0  0  1.178  1.178  1.178  1.178  1.178  1.178  0  0  0'
'g058',0.0327,21.0407,0.9579,0.0475,2.1112,0.0023,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',489.4367,1.8779,'0.5112  0.5112  0.5112','0  0  0.5562  0.5562  0.5562  0.37270  0  0  0  0  0  0  0  0','0  0  1.256  1.256  1.256  1.256  1.256  1.256  0  0  0'
'g059',0.0302,21.0247,0.9629,0.0429,2.2274,0.0020,'0  0  0.0049  0.0049  0.0049  0.0049  0.0049  0.0049  0.0049  0  0',547.4918,1.9062,'0.5009  0.5009  0.5009','0  0  0.5621  0.5621  0.5621  0.37660  0  0  0  0  0  0  0  0','0  0  1.127  1.127  1.127  1.127  1.127  1.127  0  0  0'
'g060',0.0338,21.6503,0.9701,0.0540,2.3380,0.0024,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',519.7210,1.7992,'0.493  0.493  0.493','0  0  0.5939  0.5939  0.5939  0.39790  0  0  0  0  0  0  0  0','0  0  1.252  1.252  1.252  1.252  1.252  1.252  0  0  0'
'g061',0.0390,23.2202,0.9919,0.0323,1.8700,0.0019,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',475.5394,1.9476,'0.567  0.567  0.567','0  0  0.6021  0.6021  0.6021  0.40340  0  0  0  0  0  0  0  0','0  0  1.192  1.192  1.192  1.192  1.192  1.192  0  0  0'
'g062',0.0389,23.4919,0.9959,0.0327,2.0014,0.0020,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',471.8401,1.9853,'0.5585  0.5585  0.5585','0  0  0.6001  0.6001  0.6001  0.40210  0  0  0  0  0  0  0  0','0  0  1.166  1.166  1.166  1.166  1.166  1.166  0  0  0'
'g063',0.0389,22.7695,0.9955,0.0365,2.1080,0.0018,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',472.1396,1.8616,'0.5372  0.5372  0.5372','0  0  0.5817  0.5817  0.5817  0.38970  0  0  0  0  0  0  0  0','0  0  1.267  1.267  1.267  1.267  1.267  1.267  0  0  0'
'g064',0.0373,23.0374,0.9686,0.0367,2.0235,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',490.6726,2.0108,'0.5536  0.5536  0.5536','0  0  0.6002  0.6002  0.6002  0.40210  0  0  0  0  0  0  0  0','0  0  1.291  1.291  1.291  1.291  1.291  1.291  0  0  0'
'g065',0.0317,22.5216,1.0081,0.0462,2.2678,0.0019,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',500.3473,1.9234,'0.4617  0.4617  0.4617','0  0  0.6091  0.6091  0.6091  0.40810  0  0  0  0  0  0  0  0','0  0  1.177  1.177  1.177  1.177  1.177  1.177  0  0  0'
'g066',0.0370,22.6489,0.9496,0.0478,2.3443,0.0020,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',496.0642,2.1384,'0.4465  0.4465  0.4465','0  0  0.6272  0.6272  0.6272  0.42020  0  0  0  0  0  0  0  0','0  0  1.219  1.219  1.219  1.219  1.219  1.219  0  0  0'
'g067',0.0364,22.4211,0.9650,0.0395,1.6522,0.0019,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',488.1211,1.9206,'0.5709  0.5709  0.5709','0  0  0.5929  0.5929  0.5929  0.39720  0  0  0  0  0  0  0  0','0  0  1.271  1.271  1.271  1.271  1.271  1.271  0  0  0'
'g068',0.0342,22.8541,0.9967,0.0527,2.5573,0.0022,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',524.9869,2.1740,'0.5498  0.5498  0.5498','0  0  0.6044  0.6044  0.6044  0.40490  0  0  0  0  0  0  0  0','0  0  1.238  1.238  1.238  1.238  1.238  1.238  0  0  0'
'g069',0.0342,22.4619,0.9482,0.0514,2.4882,0.0022,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',505.6661,2.2355,'0.4877  0.4877  0.4877','0  0  0.597  0.597  0.597  0.40  0  0  0  0  0  0  0  0','0  0  1.18  1.18  1.18  1.18  1.18  1.18  0  0  0'
'g070',0.0350,20.9369,1.0419,0.0496,1.8950,0.0020,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',500.8191,2.1898,'0.5011  0.5011  0.5011','0  0  0.6168  0.6168  0.6168  0.41330  0  0  0  0  0  0  0  0','0  0  1.29  1.29  1.29  1.29  1.29  1.29  0  0  0'
'g071',0.0372,22.7474,0.9734,0.0437,1.8282,0.0019,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',494.4848,2.0069,'0.5535  0.5535  0.5535','0  0  0.6058  0.6058  0.6058  0.40590  0  0  0  0  0  0  0  0','0  0  1.182  1.182  1.182  1.182  1.182  1.182  0  0  0'
'g072',0.0337,24.4257,0.9354,0.0365,1.8067,0.0018,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',510.4142,1.9486,'0.4683  0.4683  0.4683','0  0  0.61  0.61  0.61  0.40870  0  0  0  0  0  0  0  0','0  0  1.196  1.196  1.196  1.196  1.196  1.196  0  0  0'
'g073',0.0355,22.9406,1.0164,0.0519,2.0772,0.0023,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',497.8230,2.0740,'0.4714  0.4714  0.4714','0  0  0.5902  0.5902  0.5902  0.39540  0  0  0  0  0  0  0  0','0  0  1.22  1.22  1.22  1.22  1.22  1.22  0  0  0'
'g074',0.0330,23.0426,0.9855,0.0421,2.4830,0.0020,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',536.4958,1.9390,'0.5115  0.5115  0.5115','0  0  0.6288  0.6288  0.6288  0.42130  0  0  0  0  0  0  0  0','0  0  1.184  1.184  1.184  1.184  1.184  1.184  0  0  0'
'g075',0.0312,22.7254,0.9957,0.0438,2.6043,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',531.2258,1.9166,'0.5102  0.5102  0.5102','0  0  0.6437  0.6437  0.6437  0.43130  0  0  0  0  0  0  0  0','0  0  1.248  1.248  1.248  1.248  1.248  1.248  0  0  0'
'g076',0.0303,23.0071,0.9791,0.0429,2.6912,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',532.5105,1.8744,'0.5038  0.5038  0.5038','0  0  0.6256  0.6256  0.6256  0.41920  0  0  0  0  0  0  0  0','0  0  1.253  1.253  1.253  1.253  1.253  1.253  0  0  0'
'g077',0.0353,22.8448,1.0220,0.0430,2.9615,0.0020,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',508.0408,1.9496,'0.549  0.549  0.549','0  0  0.5874  0.5874  0.5874  0.39360  0  0  0  0  0  0  0  0','0  0  1.208  1.208  1.208  1.208  1.208  1.208  0  0  0'
'g078',0.0353,23.6041,1.0029,0.0421,2.5906,0.0018,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',510.8373,1.7790,'0.5018  0.5018  0.5018','0  0  0.5967  0.5967  0.5967  0.39980  0  0  0  0  0  0  0  0','0  0  1.253  1.253  1.253  1.253  1.253  1.253  0  0  0'
'g079',0.0356,22.3841,0.9488,0.0450,1.8852,0.0021,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',510.2629,2.3586,'0.5039  0.5039  0.5039','0  0  0.5826  0.5826  0.5826  0.39030  0  0  0  0  0  0  0  0','0  0  1.307  1.307  1.307  1.307  1.307  1.307  0  0  0'
'g080',0.0361,23.1344,0.9610,0.0450,1.9244,0.0022,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',501.2495,2.3279,'0.4986  0.4986  0.4986','0  0  0.5916  0.5916  0.5916  0.39640  0  0  0  0  0  0  0  0','0  0  1.242  1.242  1.242  1.242  1.242  1.242  0  0  0'
'g081',0.0356,23.4442,0.9712,0.0418,1.9513,0.0020,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',536.9571,2.2872,'0.4809  0.4809  0.4809','0  0  0.5897  0.5897  0.5897  0.39510  0  0  0  0  0  0  0  0','0  0  1.226  1.226  1.226  1.226  1.226  1.226  0  0  0'
'g082',0.0361,22.4745,0.9891,0.0428,1.6774,0.0018,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',505.8491,2.1634,'0.4503  0.4503  0.4503','0  0  0.5926  0.5926  0.5926  0.3970  0  0  0  0  0  0  0  0','0  0  1.224  1.224  1.224  1.224  1.224  1.224  0  0  0'
'g083',0.0372,22.3004,0.9585,0.0496,2.3032,0.0024,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',483.6338,1.9488,'0.4711  0.4711  0.4711','0  0  0.6169  0.6169  0.6169  0.41330  0  0  0  0  0  0  0  0','0  0  1.176  1.176  1.176  1.176  1.176  1.176  0  0  0'
'g084',0.0356,21.8318,1.0623,0.0482,2.0899,0.0021,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',515.9889,2.1885,'0.4923  0.4923  0.4923','0  0  0.5958  0.5958  0.5958  0.39920  0  0  0  0  0  0  0  0','0  0  1.145  1.145  1.145  1.145  1.145  1.145  0  0  0'
'g085',0.0398,22.0793,1.0390,0.0431,1.9585,0.0020,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',487.8067,2.1193,'0.4768  0.4768  0.4768','0  0  0.6301  0.6301  0.6301  0.42220  0  0  0  0  0  0  0  0','0  0  1.23  1.23  1.23  1.23  1.23  1.23  0  0  0'
'g086',0.0370,23.4265,1.0255,0.0448,2.6854,0.0019,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',502.0035,1.7639,'0.4641  0.4641  0.4641','0  0  0.6044  0.6044  0.6044  0.40490  0  0  0  0  0  0  0  0','0  0  1.127  1.127  1.127  1.127  1.127  1.127  0  0  0'
'g087',0.0393,23.1993,1.0364,0.0463,2.4134,0.0020,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',498.6375,1.9688,'0.4862  0.4862  0.4862','0  0  0.6202  0.6202  0.6202  0.41550  0  0  0  0  0  0  0  0','0  0  1.18  1.18  1.18  1.18  1.18  1.18  0  0  0'
'g088',0.0349,23.7830,1.0241,0.0418,2.5985,0.0020,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',506.2074,1.9523,'0.4839  0.4839  0.4839','0  0  0.605  0.605  0.605  0.40530  0  0  0  0  0  0  0  0','0  0  1.147  1.147  1.147  1.147  1.147  1.147  0  0  0'
'g089',0.0331,22.9872,1.0241,0.0406,2.1981,0.0021,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',494.5827,1.7929,'0.4912  0.4912  0.4912','0  0  0.5958  0.5958  0.5958  0.39920  0  0  0  0  0  0  0  0','0  0  1.247  1.247  1.247  1.247  1.247  1.247  0  0  0'
'g090',0.0342,23.0778,1.0072,0.0417,2.7991,0.0019,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',524.1891,1.7444,'0.4904  0.4904  0.4904','0  0  0.6054  0.6054  0.6054  0.40560  0  0  0  0  0  0  0  0','0  0  1.102  1.102  1.102  1.102  1.102  1.102  0  0  0'
'g091',0.0322,22.6252,1.0535,0.0446,2.8998,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',507.7252,1.7257,'0.4748  0.4748  0.4748','0  0  0.5799  0.5799  0.5799  0.38850  0  0  0  0  0  0  0  0','0  0  1.181  1.181  1.181  1.181  1.181  1.181  0  0  0'
'g092',0.0378,24.3819,0.9968,0.0370,2.9000,0.0018,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',515.8963,2.0051,'0.4887  0.4887  0.4887','0  0  0.5837  0.5837  0.5837  0.39110  0  0  0  0  0  0  0  0','0  0  1.163  1.163  1.163  1.163  1.163  1.163  0  0  0'
'g093',0.0354,23.1578,1.0360,0.0392,2.3446,0.0019,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',521.5429,2.1691,'0.5279  0.5279  0.5279','0  0  0.6004  0.6004  0.6004  0.40230  0  0  0  0  0  0  0  0','0  0  1.218  1.218  1.218  1.218  1.218  1.218  0  0  0'
'g094',0.0347,23.7947,1.0351,0.0451,2.6212,0.0019,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',491.5636,1.8496,'0.507  0.507  0.507','0  0  0.5925  0.5925  0.5925  0.3970  0  0  0  0  0  0  0  0','0  0  1.098  1.098  1.098  1.098  1.098  1.098  0  0  0'
'g095',0.0362,23.0376,1.0271,0.0423,2.7338,0.0018,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',510.7132,1.7449,'0.5071  0.5071  0.5071','0  0  0.5948  0.5948  0.5948  0.39850  0  0  0  0  0  0  0  0','0  0  1.232  1.232  1.232  1.232  1.232  1.232  0  0  0'
'g096',0.0372,22.8414,1.0618,0.0485,2.6082,0.0019,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',505.7659,1.8865,'0.471  0.471  0.471','0  0  0.6043  0.6043  0.6043  0.40490  0  0  0  0  0  0  0  0','0  0  1.174  1.174  1.174  1.174  1.174  1.174  0  0  0'
'g097',0.0388,21.9912,1.0179,0.0469,1.8320,0.0022,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',518.9963,2.1122,'0.5092  0.5092  0.5092','0  0  0.6152  0.6152  0.6152  0.41220  0  0  0  0  0  0  0  0','0  0  1.271  1.271  1.271  1.271  1.271  1.271  0  0  0'
'g098',0.0372,21.8617,1.0302,0.0441,2.4239,0.0021,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',496.5597,1.7212,'0.54  0.54  0.54','0  0  0.5685  0.5685  0.5685  0.38090  0  0  0  0  0  0  0  0','0  0  1.242  1.242  1.242  1.242  1.242  1.242  0  0  0'
'g099',0.0373,23.1002,0.9978,0.0384,2.3763,0.0022,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',491.5281,2.0818,'0.5005  0.5005  0.5005','0  0  0.5979  0.5979  0.5979  0.40060  0  0  0  0  0  0  0  0','0  0  1.321  1.321  1.321  1.321  1.321  1.321  0  0  0'
'g100',0.0311,22.7488,1.0283,0.0420,2.1119,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',493.4217,1.7639,'0.5148  0.5148  0.5148','0  0  0.6042  0.6042  0.6042  0.40480  0  0  0  0  0  0  0  0','0  0  1.247  1.247  1.247  1.247  1.247  1.247  0  0  0'
'g101',0.0299,22.5790,1.0033,0.0487,2.4793,0.0023,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',527.3255,2.0313,'0.4984  0.4984  0.4984','0  0  0.5883  0.5883  0.5883  0.39420  0  0  0  0  0  0  0  0','0  0  1.25  1.25  1.25  1.25  1.25  1.25  0  0  0'
'g102',0.0315,21.3642,0.9603,0.0493,2.4840,0.0020,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',554.6843,1.9435,'0.4875  0.4875  0.4875','0  0  0.5965  0.5965  0.5965  0.39970  0  0  0  0  0  0  0  0','0  0  1.286  1.286  1.286  1.286  1.286  1.286  0  0  0'
'g103',0.0391,22.5905,1.0012,0.0454,2.2341,0.0022,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',533.2734,2.2357,'0.4984  0.4984  0.4984','0  0  0.5893  0.5893  0.5893  0.39480  0  0  0  0  0  0  0  0','0  0  1.16  1.16  1.16  1.16  1.16  1.16  0  0  0'
'g104',0.0335,22.1924,0.9943,0.0457,2.2886,0.0019,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',502.8368,1.8947,'0.4819  0.4819  0.4819','0  0  0.6108  0.6108  0.6108  0.40920  0  0  0  0  0  0  0  0','0  0  1.209  1.209  1.209  1.209  1.209  1.209  0  0  0'
