geno,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
g001,1.3249567837897467,-0.7732559030151247,-1.2528341565494314,-0.7283005557007818,1.439102187818691,-0.11306489663112732,0.0449635856595522,0.4316749651647808,-0.0059433902913107635,-0.7693512366161035,0.6082460903194963,-0.049537142425232106
g002,1.1014469359563155,-0.7832984088563048,-0.8354070535261379,-0.7724027410335689,1.6491316701500442,-0.17312150153418965,-0.2424209556111122,0.5875277284415902,-0.3864825325989523,-0.17246832629959996,0.7176717127265446,0.013522899284116624
g003,2.3589984681398866,-1.3552395591565887,0.02945487859647466,0.2924451965390695,-0.8848431083907369,0.18177755139610807,0.3890969074280245,-0.08119032845303659,0.6990760066115073,0.24810085135010024,1.114252113917035,-0.21784338965619365
g004,-1.6048959770349458,-0.1289463748029764,-0.6365509393212122,1.8580215938816833,-0.24659097769728444,-0.9820406979640537,0.3183448274455562,-0.7369225892705105,0.4096870635730794,-0.6951267283487736,-0.8782276152375713,0.078651223877917
g005,-0.9348989467347221,0.9734431130737284,0.457576920208966,0.14983916609771006,1.7593743785015366,0.2929323878616472,0.3708913278172828,-0.3298232207836239,-1.1364575732686883,-0.6794892082044379,0.4961974454602699,0.46125785949433445
g006,-1.6430125148530028,0.8927750820922113,-0.31793213909044316,3.1777291627702615,-0.3551846548890873,0.9491219357869163,-0.5810624865773713,0.013181777798124683,-0.4796366146924581,-0.49617327076914464,0.31035301618564026,0.34089940373703675
g007,2.3005995583990155,-1.5662260874698588,2.161031495896759,-1.5195523638700763,-0.2501190754197039,-0.8767859190056051,0.3418184423789828,-1.1820943673677191,-1.3899285761335718,-0.7656211114966318,-0.2348452732047547,-0.346921379368468
g008,-0.011052042140345941,3.7119271402683847,1.7579080107989657,1.8289246746139876,-1.5335368996986376,1.2162344830271414,0.801609012468059,1.7572906000242472,-0.48702861992049523,-2.059042929427237,-0.9605349710607944,0.2399666170894288
g009,-0.30979676602638134,0.276360521790254,0.09167172160440178,2.5902286956299,1.0010207967659963,-0.2032113829181897,1.5997935530595069,-1.0967475060577467,-0.0823378793404517,1.5251151804601328,0.6776739541453854,0.0649606382499273
g010,-0.39952825855480123,1.3724664382840988,0.8351562054441444,-0.3722589257448696,-0.8351422527752591,-0.4467956026550255,0.10035465372147112,-0.450584629955769,0.06071717650507048,-1.7372057087543837,0.15987234447727516,-0.26749915381866796
g011,0.22458533502570832,0.5078380614953005,-0.4214953457974082,-0.6291038502137044,-0.139503873554285,0.5388687528098834,-1.3243369373590166,-0.443702361228299,-0.6345459484481127,-1.7742093517048556,-0.8302617624397096,-0.2544970910971227
g012,-1.067909933765538,1.1131227851758383,0.295906088839829,-1.1496591309082709,-0.5090603133712306,-0.8647433560963879,-0.793773118906881,-0.9332833077603139,0.21152156483498769,-1.150873479147449,-0.07303308044358701,0.2321161037604276
g013,-2.3465159411358103,0.6533608780026596,-1.2461898684875705,-0.912302611497557,-1.2315269353641365,-0.788250080768358,1.6803203719108308,-0.5060983702339749,-0.8369885722737439,0.21846410414417305,0.28287599026991433,-0.4007152860412814
g014,0.2002508304731898,1.5760738344871443,-0.5226350013157135,-0.7810260384153846,0.7616211968582363,1.5465591823896199,-1.0474669776123355,0.5046234021878666,-1.0021799135722693,0.477106052847024,0.4494116093458081,-0.4421827656384872
g015,0.19180863790909722,-1.017527943097237,0.7531638731271837,1.7683097703063968,0.7119936406080616,-0.23049381888821313,-0.12381792268420039,0.4036714347012356,0.29724044397245736,0.08688856196060354,0.010928528758918261,0.1818503216640262
g016,3.752708969983603,1.181279878877514,0.7075172100755182,0.13948098352921712,1.2975068608109401,-1.0243052282704945,0.6370965394231567,0.7521120616402988,-0.15646792531367174,-1.0389984298563149,-0.49069822568702304,-0.41313556150251063
g017,0.7030087153916731,-1.2874627404529033,-1.608900722257529,-1.9668062909662622,-0.17730875552162023,0.202256392089736,0.39507322954636653,0.7656320432170948,0.9356537534788737,1.1583894666385275,-1.5981970321310135,0.0883462256815741
g018,-1.588478907699995,-0.5974826461168072,1.5310996408492812,-0.30893805050653933,0.04875356101732409,-1.3567130895264543,-0.08671312416288096,0.8414468791951608,-0.801831054092861,-0.5738943378254939,1.4548992904805709,0.05764029391220493
g019,0.6781851072068656,-0.31570455700143596,-0.07421867110913258,-0.6724730571612914,-0.03865485977115761,0.6431506195516732,-1.0994058740020338,-0.6649459097722228,-1.5409093637133957,-0.06062358258051993,0.005909758441426674,-0.09231838237553028
g020,-0.7751698692894242,-0.8871026255831033,0.2237725572188852,2.335956766660076,1.7234507995732726,1.5214098173003783,0.20673739729164872,-0.7544901012919523,-0.8560434429884126,0.09140590453609942,0.26580427276007,-0.05442904554827371
g021,-1.8756039737942947,-1.5135008798390215,0.3193522459354785,0.6121318300262801,-2.1012446254923365,1.2029657285919466,-0.4282501809391681,1.1710482039030354,0.27977023259399425,1.0577318273995333,0.639003732169955,-0.6006821042110435
g022,0.3641776242002936,1.268351356992569,-1.0679751746453439,-1.4398925400608438,-0.24034476952495584,0.7056659089274224,0.9552962529383052,-0.10501205416447693,-1.0702162513347084,-0.08777029541824259,1.091241595556226,-0.525508350980468
g023,1.8698312371442984,-2.5623839715927565,1.2277148913009621,-1.0002142294618193,-0.5085760834506937,0.9369503584146979,0.8211150067505097,0.032301135888282775,0.2207920618814823,-0.12982603380052526,0.5082180004211985,-0.1125906214600898
g024,1.7630861157937543,-0.86816591264253,1.0992354144823642,-0.9988190088924453,0.8888275271874864,-0.3012471508553856,1.495704897484905,-1.122547573003452,1.3347478644019104,-0.62203178189122,0.43376897244919843,0.28030792102336166
g025,-3.389569613663512,-0.9596271545743688,-0.3391067413273927,-1.232350303356804,-0.8987562479706666,-0.3877988366104616,0.5483644490459838,-0.2581597360906029,-0.37675915989069514,-0.5281021476563265,-0.5882040334249053,-0.09892154634096231
g026,2.4729186404540795,-0.14374360450979964,1.5391267876263628,1.3673824993664265,-1.373033964411288,-0.8368234915164584,-1.1342104743845371,-0.9315918841633757,0.027347455691821024,0.5078733483743758,0.15635149974018758,-0.4430440289175444
g027,0.5649873756418053,-0.9954320829235221,-1.1353858217987536,0.28926218733624653,1.3920521903393452,-0.9970529454109813,0.3945761504237213,1.0143012790634107,0.1510991928951179,-0.6308768842141922,0.6831176415795268,-0.2172662247859315
